Ecosystem/Croptype,Geolocation,Time_Period,Yield,Year,Quarter,Province,Mean_Temp,Precipitation_Sum,Max_Wind_Gusts
Irrigated Palay,Albay,2012 Quarter 1,38809.0,2012,1,Albay,25.679652667277168,13446.00003531,63.36
Irrigated Palay,Camarines Norte,2012 Quarter 1,12429.0,2012,1,Camarines Norte,25.394860836996337,8204.79997582,73.439995
Irrigated Palay,Camarines Sur,2012 Quarter 1,108009.0,2012,1,Camarines Sur,25.598295964062967,24223.7000145,73.439995
Irrigated Palay,Catanduanes,2012 Quarter 1,5783.0,2012,1,Catanduanes,26.08736803785104,7623.40003226,73.799995
Irrigated Palay,Masbate,2012 Quarter 1,16790.0,2012,1,Masbate,26.226437885400316,8927.39995888,63.72
Irrigated Palay,Sorsogon,2012 Quarter 1,24450.0,2012,1,Sorsogon,25.885631147985347,11374.10003282,68.76
Rainfed Palay,Albay,2012 Quarter 1,8702.0,2012,1,Albay,25.679652667277168,13446.00003531,63.36
Rainfed Palay,Camarines Norte,2012 Quarter 1,4480.0,2012,1,Camarines Norte,25.394860836996337,8204.79997582,73.439995
Rainfed Palay,Camarines Sur,2012 Quarter 1,35350.0,2012,1,Camarines Sur,25.598295964062967,24223.7000145,73.439995
Rainfed Palay,Catanduanes,2012 Quarter 1,5894.0,2012,1,Catanduanes,26.08736803785104,7623.40003226,73.799995
Rainfed Palay,Masbate,2012 Quarter 1,17353.0,2012,1,Masbate,26.226437885400316,8927.39995888,63.72
Rainfed Palay,Sorsogon,2012 Quarter 1,7760.0,2012,1,Sorsogon,25.885631147985347,11374.10003282,68.76
Palay,Albay,2012 Quarter 1,47511.0,2012,1,Albay,25.679652667277168,13446.00003531,63.36
Palay,Camarines Norte,2012 Quarter 1,16909.0,2012,1,Camarines Norte,25.394860836996337,8204.79997582,73.439995
Palay,Camarines Sur,2012 Quarter 1,143359.0,2012,1,Camarines Sur,25.598295964062967,24223.7000145,73.439995
Palay,Catanduanes,2012 Quarter 1,11677.0,2012,1,Catanduanes,26.08736803785104,7623.40003226,73.799995
Palay,Masbate,2012 Quarter 1,34143.0,2012,1,Masbate,26.226437885400316,8927.39995888,63.72
Palay,Sorsogon,2012 Quarter 1,32210.0,2012,1,Sorsogon,25.885631147985347,11374.10003282,68.76
White Corn,Albay,2012 Quarter 1,356.0,2012,1,Albay,25.679652667277168,13446.00003531,63.36
White Corn,Camarines Norte,2012 Quarter 1,256.0,2012,1,Camarines Norte,25.394860836996337,8204.79997582,73.439995
White Corn,Camarines Sur,2012 Quarter 1,2080.0,2012,1,Camarines Sur,25.598295964062967,24223.7000145,73.439995
White Corn,Catanduanes,2012 Quarter 1,40.0,2012,1,Catanduanes,26.08736803785104,7623.40003226,73.799995
White Corn,Masbate,2012 Quarter 1,13163.0,2012,1,Masbate,26.226437885400316,8927.39995888,63.72
White Corn,Sorsogon,2012 Quarter 1,20.0,2012,1,Sorsogon,25.885631147985347,11374.10003282,68.76
Yellow Corn,Albay,2012 Quarter 1,7634.0,2012,1,Albay,25.679652667277168,13446.00003531,63.36
Yellow Corn,Camarines Norte,2012 Quarter 1,134.0,2012,1,Camarines Norte,25.394860836996337,8204.79997582,73.439995
Yellow Corn,Camarines Sur,2012 Quarter 1,29314.0,2012,1,Camarines Sur,25.598295964062967,24223.7000145,73.439995
Yellow Corn,Catanduanes,2012 Quarter 1,14.0,2012,1,Catanduanes,26.08736803785104,7623.40003226,73.799995
Yellow Corn,Masbate,2012 Quarter 1,216.0,2012,1,Masbate,26.226437885400316,8927.39995888,63.72
Yellow Corn,Sorsogon,2012 Quarter 1,12.0,2012,1,Sorsogon,25.885631147985347,11374.10003282,68.76
